Statistics,Total Population,Total PIT Count,Homelessness per 10000,Unsheltered ,White Alone,Black Alone,Asian Alone,High School Graduate,Bachelors Degree,Unemployed,Living In Poverty,Married Couple Family,Male Householder,Female Householder,Single Parent Children,Median Household Income,Moved Within Same County,Moved From Different County,Moved From Different State,Moved From Abroad,Vacant Units,Actual Renters,30 Percent Income As Rent,Mon Housing Cost,Median Gross Rent,2-Person Household,4-Person Household,7-or-More Person Household,Municipality
Audubon ,8695.0,3.0,3.450258769,0.0,93.9,2.4,0.2,27.2,27.6,3.7,2.4,46.1,6.1,11.9,31.5,103379.0,2.9,0.2,0.9,0.0,4.8,9.9,20.0,42.7,1183.0,33.1,17.4,1.0,AUDUBON PARK BORO
Audubon Park ,1031.0,0.0,0.0,0.0,93.2,1.3,0.0,54.8,11.9,6.6,11.1,21.9,5.2,12.2,21.1,51387.0,1.9,1.9,0.6,0.0,3.4,1.0,15.6,20.7,941.0,22.7,9.0,0.0,AUDUBON PARK BORO
Barrington ,7022.0,0.0,0.0,0.0,90.0,1.2,3.3,27.0,27.6,5.0,6.4,41.7,5.1,8.2,16.5,82070.0,2.8,1.0,0.1,0.0,2.1,3.8,24.4,52.1,1247.0,36.5,6.7,0.0,BARRINGTON BORO
Bellmawr ,11677.0,3.0,2.569153036,0.0,75.3,5.1,9.7,39.4,15.8,3.4,7.3,40.2,10.3,10.0,20.6,71935.0,3.7,1.3,1.0,0.1,6.2,0.3,24.4,43.7,1081.0,25.6,12.3,1.5,BELLMAWR BORO
Berlin Borough,7489.0,0.0,0.0,0.0,77.0,12.5,0.7,27.7,26.1,1.2,4.1,44.6,6.7,14.8,34.3,98706.0,0.0,0.0,0.0,0.0,5.7,4.4,4.6,40.8,1616.0,33.2,14.3,1.0,BERLIN BORO
Berlin Township,5881.0,0.0,0.0,0.7,68.1,5.3,6.9,37.2,19.8,1.9,3.8,47.1,5.7,4.9,23.8,87593.0,10.3,1.4,0.0,0.0,4.2,4.0,48.7,60.5,1339.0,22.5,3.9,1.0,BERLIN BORO
Brooklawn ,1894.0,2.0,10.55966209,0.0,77.5,11.3,6.8,39.1,10.8,4.5,9.8,36.1,4.1,19.7,48.5,58288.0,1.9,0.6,0.2,0.0,11.3,9.2,14.9,37.5,1443.0,25.4,6.9,2.1,BROOKLAWN BORO
Camden City,71799.0,420.0,58.49663644,84.4,9.9,42.9,2.1,35.1,5.8,8.3,27.4,17.1,10.8,37.5,77.5,36258.0,5.2,0.7,0.9,1.4,12.6,4.9,24.8,39.6,1091.0,24.4,14.3,3.0,CAMDEN CITY
Cherry Hill ,74934.0,2.0,0.26690154,1.4,71.1,6.6,13.5,18.8,29.4,3.8,6.2,58.4,2.7,10.2,13.9,116339.0,2.2,1.1,1.5,0.7,5.1,9.6,25.7,24.1,1726.0,33.8,15.8,0.9,CHERRY HILL TWP
Chesilhurst ,1384.0,0.0,0.0,0.0,47.0,40.5,0.0,32.8,13.4,4.0,10.6,41.1,8.0,13.8,61.2,85104.0,1.2,0.6,0.0,0.0,12.3,11.9,27.7,16.9,996.0,31.6,10.1,1.6,CHESILHURST BORO
Clementon ,5312.0,2.0,3.765060241,0.0,62.1,20.9,2.4,42.6,14.3,3.0,7.3,40.1,9.3,11.0,22.1,62917.0,2.6,2.5,0.0,0.0,5.3,3.9,32.4,18.3,1247.0,25.4,18.1,0.0,CLEMENTON BORO
Collingswood ,14135.0,1.0,0.707463742,0.0,80.0,12.7,1.1,21.7,25.6,5.8,11.2,39.0,2.4,8.7,22.6,78909.0,3.2,0.9,2.8,0.0,5.4,5.0,25.6,48.3,0.0,36.0,10.1,0.4,COLLINGSWOOD BORO
Gibbsboro ,2278.0,0.0,0.0,0.0,82.7,2.3,5.6,39.2,17.4,4.8,4.8,56.7,10.7,9.0,22.3,93103.0,0.6,0.0,0.0,0.0,5.8,0.0,8.5,26.8,1422.0,36.5,13.7,3.7,GIBBSBORO BORO
Gloucester Township,65812.0,41.0,6.229866894,1.4,68.2,18.1,4.4,31.5,22.8,4.3,6.4,49.8,5.3,14.2,32.1,95084.0,2.5,1.0,1.6,0.0,6.2,9.0,37.4,46.3,1400.0,32.9,13.8,0.8,GLOUCESTER TWP
Gloucester City ,11435.0,0.0,0.0,0.7,75.8,7.2,5.0,44.9,10.9,4.1,11.1,43.5,12.6,13.7,40.1,71756.0,5.0,1.9,0.9,0.1,9.5,12.0,26.1,30.2,1596.0,28.4,17.4,1.5,GLOUCESTER TWP
Haddon ,15331.0,0.0,0.0,0.0,88.3,3.3,1.5,18.1,33.1,6.8,7.2,41.8,3.7,8.9,11.0,112352.0,2.0,0.9,0.8,0.1,5.8,7.9,20.4,31.8,1711.0,29.1,11.6,1.4,HADDON HEIGHTS BORO
Haddonfield ,12456.0,1.0,0.802825947,0.0,90.2,1.0,1.3,6.8,37.2,2.4,2.3,71.9,1.8,6.5,8.7,178362.0,1.1,0.6,0.3,0.0,5.3,3.5,22.8,23.2,1209.0,31.0,25.9,0.0,HADDON HEIGHTS BORO
Haddon Heights ,7484.0,0.0,0.0,0.0,94.7,1.6,1.2,17.5,35.5,3.2,1.6,52.1,5.4,6.2,28.3,117556.0,6.1,0.3,0.4,0.0,4.8,6.6,25.7,18.2,1390.0,34.6,11.0,1.4,HADDON HEIGHTS BORO
Hi-Nella ,883.0,0.0,0.0,0.0,52.3,14.8,8.6,46.5,15.9,4.1,4.3,27.6,5.9,22.4,58.1,64423.0,8.9,1.7,0.6,0.0,5.4,6.4,36.7,56.2,962.0,38.0,8.3,0.0,HI-NELLA BORO
Laurel Springs ,2004.0,0.0,0.0,0.0,88.1,3.9,4.7,24.9,26.2,3.1,8.7,55.0,4.7,6.6,7.8,113500.0,1.1,1.1,0.0,0.0,6.5,0.0,29.3,15.0,1087.0,22.9,14.9,2.8,LAUREL SPRINGS BORO
Lawnside ,3059.0,4.0,13.07616868,0.0,6.0,78.0,0.6,36.8,8.4,7.1,7.7,32.8,7.2,23.4,76.6,74250.0,2.8,0.2,5.9,0.0,5.1,27.2,8.7,40.4,1179.0,26.0,16.5,0.4,LAWNSIDE BORO
Lindenwold ,21337.0,8.0,3.74935558,4.1,36.4,32.6,3.2,40.7,13.5,2.4,17.4,30.0,5.7,15.8,37.1,53645.0,7.9,0.5,0.6,0.3,6.0,3.3,31.5,56.5,1157.0,34.6,12.9,1.7,LINDENWOLD BORO
Magnolia ,4342.0,0.0,0.0,0.0,64.4,18.5,7.8,40.1,23.6,5.7,4.7,42.7,4.1,10.7,32.9,74295.0,2.8,0.5,0.2,0.4,7.9,1.8,10.4,60.6,1112.0,31.6,17.9,0.0,MAGNOLIA BORO
Merchantville ,3800.0,0.0,0.0,0.0,62.3,12.3,2.6,32.3,19.7,1.8,15.5,32.7,7.7,20.8,52.1,72375.0,2.7,3.7,0.0,0.0,8.9,9.9,11.7,44.5,1222.0,30.2,11.6,0.2,MERCHANTVILLE BORO
Mount Ephraim ,4638.0,1.0,2.156101768,0.0,87.0,0.6,0.0,43.2,14.7,5.6,7.2,47.3,1.2,9.8,28.8,81800.0,1.7,1.8,0.3,0.0,4.5,0.0,15.5,23.6,1128.0,30.3,10.5,0.0,MOUNT EPHRAIM BORO
Oaklyn ,3937.0,0.0,0.0,0.0,85.7,3.7,1.4,25.7,26.1,2.4,8.2,39.1,3.2,12.0,18.1,81012.0,3.9,2.5,2.3,0.0,4.3,5.9,23.5,51.8,1149.0,40.1,11.3,1.8,OAKLYN BORO
Pennsauken ,36984.0,2.0,0.540774389,3.4,34.5,29.7,8.3,33.6,15.4,5.2,12.8,41.0,9.2,21.3,53.0,80248.0,2.1,0.5,0.3,0.0,5.8,5.9,27.2,39.4,1173.0,30.0,17.4,2.3,PENNSAUKEN TWP
Pine Hill ,10698.0,2.0,1.869508319,0.0,55.8,27.4,3.9,37.6,15.3,5.9,12.2,32.3,3.7,19.8,65.9,69176.0,1.2,0.4,0.6,0.0,5.6,9.5,30.1,35.3,1326.0,27.9,11.1,1.2,PINE VALLEY BORO
Runnemede ,8307.0,0.0,0.0,0.0,81.7,7.6,2.5,38.9,18.1,5.3,12.1,42.4,7.9,10.8,30.5,85700.0,3.2,1.8,0.4,0.0,8.2,2.9,29.1,54.2,1108.0,35.2,10.2,1.6,RUNNEMEDE BORO
Somerdale ,5524.0,0.0,0.0,0.0,60.0,29.5,2.1,32.3,14.6,5.9,10.1,42.1,6.0,14.3,43.2,83778.0,0.9,0.9,0.2,0.3,2.2,9.6,5.3,49.3,1109.0,28.4,13.4,0.7,SOMERDALE BORO
Stratford ,6962.0,0.0,0.0,0.0,75.6,7.1,2.8,33.0,26.5,3.5,9.1,53.6,5.8,11.0,29.5,89200.0,1.0,0.5,0.0,0.2,1.2,1.7,19.2,56.4,0.0,32.0,13.9,1.4,STRATFORD BORO
Tavistock ,12.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,TAVISTOCK BORO
Voorhees ,30876.0,0.0,0.0,0.0,65.3,8.2,19.0,17.4,31.2,3.5,7.0,54.2,3.6,7.7,14.4,108518.0,2.6,3.1,0.6,1.7,3.9,7.5,24.1,21.3,1664.0,32.5,17.5,0.1,VOORHEES TWP
Waterford ,10411.0,1.0,0.960522524,0.7,86.1,2.7,2.4,40.4,15.8,4.4,8.4,62.0,6.9,8.6,23.6,99799.0,0.1,0.0,0.0,0.0,3.6,13.7,31.8,27.6,1296.0,41.8,12.7,0.6,WATERFORD TWP
Winslow ,39854.0,67.0,16.81136147,0.0,47.7,36.9,3.4,29.5,17.6,5.4,11.4,45.8,7.3,16.5,41.7,87179.0,2.6,0.7,0.0,0.0,5.3,2.0,28.4,39.8,1312.0,32.9,13.1,1.3,WINSLOW TWP
Woodlynne ,2904.0,0.0,0.0,0.0,27.7,22.5,7.4,39.4,9.6,7.2,15.5,24.7,17.8,37.2,76.2,68125.0,5.3,0.8,1.2,2.1,18.8,0.0,25.0,36.9,1518.0,19.2,14.2,2.9,WOODLYNNE BORO
